PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,PRVDR_NUM,PGM_TRMNTN_CD,ZIP_CD
01,21,011962,00,35974
01,21,011963,00,36276
01,21,011964,00,36609
01,21,011965,00,35653
01,21,011966,00,35672
01,21,011967,00,35601
01,21,011969,00,35630
01,21,011970,00,35662
01,21,011971,00,35652
01,21,011972,00,36607
01,21,011973,00,36207
01,21,011974,00,36535
01,21,011975,00,36310
01,21,011976,00,35761
01,21,011977,00,35045
01,21,011979,00,36040
01,21,011980,00,36785
01,21,011981,00,36110
01,21,011982,00,36003
01,21,011983,00,36509
01,21,011984,00,35959
02,01,012004,01,36609
02,01,012005,01,35401
02,01,012006,00,36607
02,01,012007,00,36106
02,01,012008,00,35209
02,01,012009,00,35235
02,01,012010,00,36302
02,01,012011,00,36202
02,01,012012,00,35401
02,01,012013,00,35007
01,09,012300,01,35233
01,09,012301,01,35801
01,09,012303,04,36652
01,09,012304,04,35211
01,09,012306,00,35233
01,09,012307,01,36104
01,09,012308,01,35105
01,09,012500,00,36104
01,09,012501,00,35901
01,09,012502,00,35401
01,09,012503,01,35660
01,09,012505,00,36106
01,09,012506,00,36301
01,09,012507,00,36607
01,09,012508,00,35235
01,09,012509,00,35801
01,09,012510,01,36502
01,09,012511,01,36201
01,09,012512,00,36701
01,09,012513,00,36854
01,09,012514,01,36867
01,09,012515,00,36801
01,09,012516,00,35222
01,09,012517,00,35613
01,09,012518,01,35601
01,09,012519,00,35768
01,09,012520,00,36081
01,09,012521,00,36301
01,09,012522,00,35801
01,09,012523,00,36867
01,09,012524,00,36604
01,09,012525,00,36609
01,09,012526,00,35211
01,09,012527,00,36330
01,09,012528,00,35124
01,09,012529,00,35630
01,09,012530,00,36207
01,09,012531,00,36545
01,09,012532,00,36027
01,09,012533,00,35504
01,09,012534,00,35022
01,09,012535,00,36066
01,09,012536,00,35213
01,09,012537,00,36612
01,09,012538,00,36420
01,09,012539,01,35160
01,09,012540,00,36460
01,09,012541,00,36853
01,09,012542,00,35903
01,09,012543,00,36732
01,09,012544,00,36360
01,09,012545,00,35401
01,09,012546,00,36083
01,09,012547,00,36532
01,09,012548,00,35555
01,09,012549,00,36426
01,09,012550,00,35462
01,09,012551,00,35660
01,09,012552,00,36604
01,09,012553,00,36092
01,09,012554,01,36089
01,09,012555,01,36854
01,09,012556,00,35125
01,09,012557,00,36117
01,09,012558,00,35601
01,09,012559,00,36688
01,09,012560,00,35570
01,09,012561,00,35976
01,09,012562,00,35125
01,09,012563,00,35055
01,09,012564,01,36089
01,09,012565,00,36535
01,09,012566,00,35150
01,09,012567,01,36207
01,09,012568,00,35810
01,09,012569,01,36536
01,09,012570,00,35476
01,09,012571,00,36033
01,09,012572,00,36037
01,09,012573,00,35206
01,09,012574,00,36862
01,09,012575,00,35501
01,09,012576,00,36104
01,09,012577,01,36278
01,09,012578,00,35205
01,09,012579,00,36605
01,09,012580,00,36784
01,09,012581,01,36784
01,09,012582,00,36726
01,09,012583,00,35020
01,09,012584,01,35044
01,09,012585,00,35218
01,09,012586,03,35906
01,09,012587,01,35045
01,09,012588,00,35150
01,09,012589,00,35207
01,09,012590,00,35650
01,09,012591,00,35007
01,09,012592,00,35233
01,09,012593,00,35758
01,09,012594,00,35957
01,09,012595,00,35968
01,09,012596,00,36111
01,09,012597,00,36507
01,09,012598,00,36867
01,09,012599,00,36602
01,09,012600,00,36502
01,09,012601,00,35211
01,09,012602,00,35653
01,09,012603,00,35064
01,09,012604,00,35045
01,09,012605,01,35233
01,09,012606,00,35810
01,09,012607,00,36274
01,09,012608,00,35121
01,09,012609,00,36027
01,09,012610,00,36575
01,09,012611,00,36701
01,09,012612,00,35071
01,09,012613,00,35801
01,09,012614,00,36701
01,09,012615,00,36832
01,09,012616,00,35160
01,09,012617,00,35010
01,09,012618,00,35473
01,09,012619,00,35406
01,09,012620,00,35601
01,09,012621,00,36203
01,09,012622,00,35160
01,09,012623,00,35215
01,09,012624,00,35228
01,09,012625,00,36265
01,09,012626,00,35594
01,09,012627,00,36526
01,09,012628,00,36801
01,09,012629,00,35630
01,09,012630,00,36301
01,09,012631,00,36542
01,09,012632,00,35661
01,09,012633,00,36066
01,09,012634,00,36535
01,09,012635,01,36542
01,09,012636,00,36617
01,09,012637,00,36107
01,09,012638,00,35226
01,09,012639,00,35115
01,09,012640,00,35447
01,09,012641,00,36401
01,09,012642,00,36330
01,09,012643,00,35816
01,09,012644,00,35020
01,09,012645,00,35233
01,09,012646,00,35218
01,09,012647,00,35234
01,09,012648,00,35903
01,09,012649,00,36089
01,09,012650,00,35611
01,09,012651,00,35214
01,09,012652,00,35094
01,09,012653,00,36867
01,09,012654,00,36117
01,09,012655,00,36420
01,09,012656,00,36117
01,09,012657,00,35209
01,09,012658,00,35146
01,09,012659,00,35215
01,09,012660,00,35954
01,09,012661,00,35903
01,09,012662,00,36117
01,09,012663,00,36756
01,09,012664,00,36541
01,09,012665,00,36426
01,09,012666,00,36201
01,09,012667,00,36532
01,09,012668,00,36310
01,09,012669,00,36116
01,09,012670,00,35233
01,09,012671,00,35801
01,09,012672,00,35756
01,09,012673,00,36301
